movie_title,select_gross
avatar,760507625
black-panther,700047537
avengers:-infinity-war,678184333
titanic,659363944
jurassic-world,652270625
incredibles-2,585709737
the-dark-knight,534858444
rogue-one:-a-star-wars-story,532177324
finding-dory,486295561
avengers:-age-of-ultron,459005868
the-dark-knight-rises,448139099
shrek-2,441226247
the-hunger-games:-catching-fire,424668047
the-lion-king,422783777
toy-story-3,415004880
wonder-woman,412563408
iron-man-3,409013994
captain-america:-civil-war,408084349
the-hunger-games,408010692
jurassic-world:-fallen-kingdom,407322180
jumanji:-welcome-to-the-jungle,404515480
spider-man,403706375
jurassic-park,402453882
transformers:-revenge-of-the-fallen,402111870
frozen,400738009
finding-nemo,380843261
the-lord-of-the-rings:-the-return-of-the-king,377845905
spider-man-2,373585825
the-passion-of-the-christ,370782930
the-secret-life-of-pets,368384330
despicable-me-2,368065385
deadpool,363070709
inside-out,356461711
furious-7,353007020
transformers:-dark-of-the-moon,352390543
american-sniper,350126372
the-lord-of-the-rings:-the-two-towers,342551365
zootopia,341268248
the-hunger-games:-mockingjay---part-1,337135885
spider-man-3,336530303
minions,336045770
spider-man:-homecoming,334201140
guardians-of-the-galaxy,333176600
batman-v-superman:-dawn-of-justice,330360194
forrest-gump,330252182
it,327481748
suicide-squad,325100054
shrek-the-third,322719944
transformers,319246193
iron-man,318604126
deadpool-2,318104241
indiana-jones-and-the-kingdom-of-the-crystal-skull,317101119
the-lord-of-the-rings:-the-fellowship-of-the-ring,315544750
thor:-ragnarok,315058289
iron-man-2,312433331
independence-day,306169268
pirates-of-the-caribbean:-the-curse-of-the-black-pearl,305413918
skyfall,304360277
the-hobbit:-an-unexpected-journey,303003568
harry-potter-and-the-half-blood-prince,301959197
the-twilight-saga:-eclipse,300531751
the-twilight-saga:-new-moon,296623634
the-sixth-sense,293506292
up,293004164
inception,292576195
harry-potter-and-the-order-of-the-phoenix,292004738
"the-chronicles-of-narnia:-the-lion,-the-witch-and-the-wardrobe",291710957
man-of-steel,291045518
harry-potter-and-the-goblet-of-fire,290013036
"monsters,-inc.",289916256
home-alone,285761243
the-hunger-games:-mockingjay---part-2,281723902
